state,job_category,skill_level,min_wage_day,min_wage_month,max_hours_day,max_hours_week,overtime_multiplier,weekly_off,vda,last_updated
Gujarat,Cashier,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Rajasthan,Cashier,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Delhi,Cashier,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
West Bengal,Cashier,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Retail Associate,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Karnataka,Retail Associate,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Kerala,Retail Associate,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Telangana,Retail Associate,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Maharashtra,Retail Associate,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Retail Associate,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
Gujarat,Retail Associate,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Rajasthan,Retail Associate,Skilled,985,25610,8,48,2,1 day/week,Yes,2026
Delhi,Retail Associate,Skilled,995,25870,8,48,2,1 day/week,Yes,2026
West Bengal,Retail Associate,Skilled,1005,26130,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Tailor,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Karnataka,Tailor,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Kerala,Tailor,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Telangana,Tailor,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Maharashtra,Tailor,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Tailor,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Gujarat,Tailor,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Rajasthan,Tailor,Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Delhi,Tailor,Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
West Bengal,Tailor,Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Loader,Skilled,840,21840,8,48,2,1 day/week,Yes,2026
Karnataka,Loader,Skilled,850,22100,8,48,2,1 day/week,Yes,2026
Kerala,Loader,Skilled,860,22360,8,48,2,1 day/week,Yes,2026
Telangana,Loader,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Maharashtra,Loader,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Loader,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Gujarat,Loader,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Rajasthan,Loader,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Delhi,Loader,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
West Bengal,Loader,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Technician,Skilled,855,22230,8,48,2,1 day/week,Yes,2026
Karnataka,Technician,Skilled,865,22490,8,48,2,1 day/week,Yes,2026
Kerala,Technician,Skilled,875,22750,8,48,2,1 day/week,Yes,2026
Telangana,Technician,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Maharashtra,Technician,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Technician,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Gujarat,Technician,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Rajasthan,Technician,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Delhi,Technician,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
West Bengal,Technician,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Fitter,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Karnataka,Fitter,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Kerala,Fitter,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Telangana,Fitter,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Maharashtra,Fitter,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Fitter,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Gujarat,Fitter,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Rajasthan,Fitter,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Delhi,Fitter,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
West Bengal,Fitter,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Assembler,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Karnataka,Assembler,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Kerala,Assembler,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Telangana,Assembler,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Maharashtra,Assembler,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Assembler,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Gujarat,Assembler,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Rajasthan,Assembler,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Delhi,Assembler,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
West Bengal,Assembler,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Quality Inspector,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Karnataka,Quality Inspector,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Kerala,Quality Inspector,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Telangana,Quality Inspector,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Maharashtra,Quality Inspector,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Quality Inspector,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Gujarat,Quality Inspector,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Rajasthan,Quality Inspector,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Delhi,Quality Inspector,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
West Bengal,Quality Inspector,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Forklift Operator,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Karnataka,Forklift Operator,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Kerala,Forklift Operator,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Telangana,Forklift Operator,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Maharashtra,Forklift Operator,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Forklift Operator,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
Gujarat,Forklift Operator,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Rajasthan,Forklift Operator,Skilled,985,25610,8,48,2,1 day/week,Yes,2026
Delhi,Forklift Operator,Skilled,995,25870,8,48,2,1 day/week,Yes,2026
West Bengal,Forklift Operator,Skilled,1005,26130,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Supervisor,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Karnataka,Supervisor,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Kerala,Supervisor,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Telangana,Supervisor,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Maharashtra,Supervisor,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Supervisor,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Gujarat,Supervisor,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Rajasthan,Supervisor,Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Delhi,Supervisor,Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
West Bengal,Supervisor,Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Office Boy,Skilled,840,21840,8,48,2,1 day/week,Yes,2026
Karnataka,Office Boy,Skilled,850,22100,8,48,2,1 day/week,Yes,2026
Kerala,Office Boy,Skilled,860,22360,8,48,2,1 day/week,Yes,2026
Telangana,Office Boy,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Maharashtra,Office Boy,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Office Boy,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Gujarat,Office Boy,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Rajasthan,Office Boy,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Delhi,Office Boy,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
West Bengal,Office Boy,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Janitor,Skilled,855,22230,8,48,2,1 day/week,Yes,2026
Karnataka,Janitor,Skilled,865,22490,8,48,2,1 day/week,Yes,2026
Kerala,Janitor,Skilled,875,22750,8,48,2,1 day/week,Yes,2026
Telangana,Janitor,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Maharashtra,Janitor,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Janitor,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Gujarat,Janitor,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Rajasthan,Janitor,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Delhi,Janitor,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
West Bengal,Janitor,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Lab Assistant,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Karnataka,Lab Assistant,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Kerala,Lab Assistant,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Telangana,Lab Assistant,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Maharashtra,Lab Assistant,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Lab Assistant,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Gujarat,Lab Assistant,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Rajasthan,Lab Assistant,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Delhi,Lab Assistant,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
West Bengal,Lab Assistant,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Nurse Assistant,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Karnataka,Nurse Assistant,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Kerala,Nurse Assistant,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Telangana,Nurse Assistant,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Maharashtra,Nurse Assistant,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Nurse Assistant,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Gujarat,Nurse Assistant,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Rajasthan,Nurse Assistant,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Delhi,Nurse Assistant,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
West Bengal,Nurse Assistant,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Caregiver,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Karnataka,Caregiver,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Kerala,Caregiver,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Telangana,Caregiver,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Maharashtra,Caregiver,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Caregiver,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Gujarat,Caregiver,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Rajasthan,Caregiver,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Delhi,Caregiver,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
West Bengal,Caregiver,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Farm Worker,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Karnataka,Farm Worker,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Kerala,Farm Worker,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Telangana,Farm Worker,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Maharashtra,Farm Worker,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Farm Worker,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
Gujarat,Farm Worker,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Rajasthan,Farm Worker,Skilled,985,25610,8,48,2,1 day/week,Yes,2026
Delhi,Farm Worker,Skilled,995,25870,8,48,2,1 day/week,Yes,2026
West Bengal,Farm Worker,Skilled,1005,26130,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Textile Worker,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Karnataka,Textile Worker,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Kerala,Textile Worker,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Telangana,Textile Worker,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Maharashtra,Textile Worker,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Textile Worker,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Gujarat,Textile Worker,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Rajasthan,Textile Worker,Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Delhi,Textile Worker,Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
West Bengal,Textile Worker,Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Food Processing Worker,Skilled,840,21840,8,48,2,1 day/week,Yes,2026
Karnataka,Food Processing Worker,Skilled,850,22100,8,48,2,1 day/week,Yes,2026
Kerala,Food Processing Worker,Skilled,860,22360,8,48,2,1 day/week,Yes,2026
Telangana,Food Processing Worker,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Maharashtra,Food Processing Worker,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Food Processing Worker,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Gujarat,Food Processing Worker,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Rajasthan,Food Processing Worker,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Delhi,Food Processing Worker,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
West Bengal,Food Processing Worker,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Hotel Staff,Skilled,855,22230,8,48,2,1 day/week,Yes,2026
Karnataka,Hotel Staff,Skilled,865,22490,8,48,2,1 day/week,Yes,2026
Kerala,Hotel Staff,Skilled,875,22750,8,48,2,1 day/week,Yes,2026
Telangana,Hotel Staff,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Maharashtra,Hotel Staff,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Hotel Staff,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Gujarat,Hotel Staff,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Rajasthan,Hotel Staff,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Delhi,Hotel Staff,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
West Bengal,Hotel Staff,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Kitchen Helper,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Karnataka,Kitchen Helper,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Kerala,Kitchen Helper,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Telangana,Kitchen Helper,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Maharashtra,Kitchen Helper,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Kitchen Helper,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Gujarat,Kitchen Helper,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Rajasthan,Kitchen Helper,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Delhi,Kitchen Helper,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
West Bengal,Kitchen Helper,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Security Supervisor,Skilled,885,23010,8,48,2,1 day/week,Yes,2026
Karnataka,Security Supervisor,Skilled,895,23270,8,48,2,1 day/week,Yes,2026
Kerala,Security Supervisor,Skilled,905,23530,8,48,2,1 day/week,Yes,2026
Telangana,Security Supervisor,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Maharashtra,Security Supervisor,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Security Supervisor,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Gujarat,Security Supervisor,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Rajasthan,Security Supervisor,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Delhi,Security Supervisor,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
West Bengal,Security Supervisor,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Field Executive,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Karnataka,Field Executive,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Kerala,Field Executive,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
Telangana,Field Executive,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Maharashtra,Field Executive,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Field Executive,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Gujarat,Field Executive,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Rajasthan,Field Executive,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Delhi,Field Executive,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
West Bengal,Field Executive,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Sales Assistant,Skilled,915,23790,8,48,2,1 day/week,Yes,2026
Karnataka,Sales Assistant,Skilled,925,24050,8,48,2,1 day/week,Yes,2026
Kerala,Sales Assistant,Skilled,935,24310,8,48,2,1 day/week,Yes,2026
Telangana,Sales Assistant,Skilled,945,24570,8,48,2,1 day/week,Yes,2026
Maharashtra,Sales Assistant,Skilled,955,24830,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Sales Assistant,Skilled,965,25090,8,48,2,1 day/week,Yes,2026
Gujarat,Sales Assistant,Skilled,975,25350,8,48,2,1 day/week,Yes,2026
Rajasthan,Sales Assistant,Skilled,985,25610,8,48,2,1 day/week,Yes,2026
Delhi,Sales Assistant,Skilled,995,25870,8,48,2,1 day/week,Yes,2026
West Bengal,Sales Assistant,Skilled,1005,26130,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Packaging Operator,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Karnataka,Packaging Operator,Skilled,940,24440,8,48,2,1 day/week,Yes,2026
Kerala,Packaging Operator,Skilled,950,24700,8,48,2,1 day/week,Yes,2026
Telangana,Packaging Operator,Skilled,960,24960,8,48,2,1 day/week,Yes,2026
Maharashtra,Packaging Operator,Skilled,970,25220,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Packaging Operator,Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Gujarat,Packaging Operator,Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Rajasthan,Packaging Operator,Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Delhi,Packaging Operator,Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
West Bengal,Packaging Operator,Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Store Keeper,Skilled,840,21840,8,48,2,1 day/week,Yes,2026
Karnataka,Store Keeper,Skilled,850,22100,8,48,2,1 day/week,Yes,2026
Kerala,Store Keeper,Skilled,860,22360,8,48,2,1 day/week,Yes,2026
Telangana,Store Keeper,Skilled,870,22620,8,48,2,1 day/week,Yes,2026
Maharashtra,Store Keeper,Skilled,880,22880,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Store Keeper,Skilled,890,23140,8,48,2,1 day/week,Yes,2026
Gujarat,Store Keeper,Skilled,900,23400,8,48,2,1 day/week,Yes,2026
Rajasthan,Store Keeper,Skilled,910,23660,8,48,2,1 day/week,Yes,2026
Delhi,Store Keeper,Skilled,920,23920,8,48,2,1 day/week,Yes,2026
West Bengal,Store Keeper,Skilled,930,24180,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Security Guard,Highly Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Karnataka,Security Guard,Highly Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Kerala,Security Guard,Highly Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Telangana,Security Guard,Highly Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
Maharashtra,Security Guard,Highly Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Security Guard,Highly Skilled,1030,26780,8,48,2,1 day/week,Yes,2026
Gujarat,Security Guard,Highly Skilled,1040,27040,8,48,2,1 day/week,Yes,2026
Rajasthan,Security Guard,Highly Skilled,1050,27300,8,48,2,1 day/week,Yes,2026
Delhi,Security Guard,Highly Skilled,1060,27560,8,48,2,1 day/week,Yes,2026
West Bengal,Security Guard,Highly Skilled,1070,27820,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Housekeeping,Highly Skilled,995,25870,8,48,2,1 day/week,Yes,2026
Karnataka,Housekeeping,Highly Skilled,1005,26130,8,48,2,1 day/week,Yes,2026
Kerala,Housekeeping,Highly Skilled,1015,26390,8,48,2,1 day/week,Yes,2026
Telangana,Housekeeping,Highly Skilled,1025,26650,8,48,2,1 day/week,Yes,2026
Maharashtra,Housekeeping,Highly Skilled,1035,26910,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Housekeeping,Highly Skilled,1045,27170,8,48,2,1 day/week,Yes,2026
Gujarat,Housekeeping,Highly Skilled,1055,27430,8,48,2,1 day/week,Yes,2026
Rajasthan,Housekeeping,Highly Skilled,1065,27690,8,48,2,1 day/week,Yes,2026
Delhi,Housekeeping,Highly Skilled,1075,27950,8,48,2,1 day/week,Yes,2026
West Bengal,Housekeeping,Highly Skilled,1085,28210,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Cleaner,Highly Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
Karnataka,Cleaner,Highly Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Kerala,Cleaner,Highly Skilled,1030,26780,8,48,2,1 day/week,Yes,2026
Telangana,Cleaner,Highly Skilled,1040,27040,8,48,2,1 day/week,Yes,2026
Maharashtra,Cleaner,Highly Skilled,1050,27300,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Cleaner,Highly Skilled,1060,27560,8,48,2,1 day/week,Yes,2026
Gujarat,Cleaner,Highly Skilled,1070,27820,8,48,2,1 day/week,Yes,2026
Rajasthan,Cleaner,Highly Skilled,1080,28080,8,48,2,1 day/week,Yes,2026
Delhi,Cleaner,Highly Skilled,1090,28340,8,48,2,1 day/week,Yes,2026
West Bengal,Cleaner,Highly Skilled,1100,28600,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Factory Worker,Highly Skilled,1025,26650,8,48,2,1 day/week,Yes,2026
Karnataka,Factory Worker,Highly Skilled,1035,26910,8,48,2,1 day/week,Yes,2026
Kerala,Factory Worker,Highly Skilled,1045,27170,8,48,2,1 day/week,Yes,2026
Telangana,Factory Worker,Highly Skilled,1055,27430,8,48,2,1 day/week,Yes,2026
Maharashtra,Factory Worker,Highly Skilled,1065,27690,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Factory Worker,Highly Skilled,1075,27950,8,48,2,1 day/week,Yes,2026
Gujarat,Factory Worker,Highly Skilled,1085,28210,8,48,2,1 day/week,Yes,2026
Rajasthan,Factory Worker,Highly Skilled,1095,28470,8,48,2,1 day/week,Yes,2026
Delhi,Factory Worker,Highly Skilled,1105,28730,8,48,2,1 day/week,Yes,2026
West Bengal,Factory Worker,Highly Skilled,1115,28990,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Electrician,Highly Skilled,1040,27040,8,48,2,1 day/week,Yes,2026
Karnataka,Electrician,Highly Skilled,1050,27300,8,48,2,1 day/week,Yes,2026
Kerala,Electrician,Highly Skilled,1060,27560,8,48,2,1 day/week,Yes,2026
Telangana,Electrician,Highly Skilled,1070,27820,8,48,2,1 day/week,Yes,2026
Maharashtra,Electrician,Highly Skilled,1080,28080,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Electrician,Highly Skilled,1090,28340,8,48,2,1 day/week,Yes,2026
Gujarat,Electrician,Highly Skilled,1100,28600,8,48,2,1 day/week,Yes,2026
Rajasthan,Electrician,Highly Skilled,1110,28860,8,48,2,1 day/week,Yes,2026
Delhi,Electrician,Highly Skilled,1120,29120,8,48,2,1 day/week,Yes,2026
West Bengal,Electrician,Highly Skilled,1130,29380,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Plumber,Highly Skilled,1055,27430,8,48,2,1 day/week,Yes,2026
Karnataka,Plumber,Highly Skilled,1065,27690,8,48,2,1 day/week,Yes,2026
Kerala,Plumber,Highly Skilled,1075,27950,8,48,2,1 day/week,Yes,2026
Telangana,Plumber,Highly Skilled,1085,28210,8,48,2,1 day/week,Yes,2026
Maharashtra,Plumber,Highly Skilled,1095,28470,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Plumber,Highly Skilled,1105,28730,8,48,2,1 day/week,Yes,2026
Gujarat,Plumber,Highly Skilled,1115,28990,8,48,2,1 day/week,Yes,2026
Rajasthan,Plumber,Highly Skilled,1125,29250,8,48,2,1 day/week,Yes,2026
Delhi,Plumber,Highly Skilled,1135,29510,8,48,2,1 day/week,Yes,2026
West Bengal,Plumber,Highly Skilled,1145,29770,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Carpenter,Highly Skilled,1070,27820,8,48,2,1 day/week,Yes,2026
Karnataka,Carpenter,Highly Skilled,1080,28080,8,48,2,1 day/week,Yes,2026
Kerala,Carpenter,Highly Skilled,1090,28340,8,48,2,1 day/week,Yes,2026
Telangana,Carpenter,Highly Skilled,1100,28600,8,48,2,1 day/week,Yes,2026
Maharashtra,Carpenter,Highly Skilled,1110,28860,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Carpenter,Highly Skilled,1120,29120,8,48,2,1 day/week,Yes,2026
Gujarat,Carpenter,Highly Skilled,1130,29380,8,48,2,1 day/week,Yes,2026
Rajasthan,Carpenter,Highly Skilled,1140,29640,8,48,2,1 day/week,Yes,2026
Delhi,Carpenter,Highly Skilled,1150,29900,8,48,2,1 day/week,Yes,2026
West Bengal,Carpenter,Highly Skilled,1160,30160,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Welder,Highly Skilled,980,25480,8,48,2,1 day/week,Yes,2026
Karnataka,Welder,Highly Skilled,990,25740,8,48,2,1 day/week,Yes,2026
Kerala,Welder,Highly Skilled,1000,26000,8,48,2,1 day/week,Yes,2026
Telangana,Welder,Highly Skilled,1010,26260,8,48,2,1 day/week,Yes,2026
Maharashtra,Welder,Highly Skilled,1020,26520,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Welder,Highly Skilled,1030,26780,8,48,2,1 day/week,Yes,2026
Gujarat,Welder,Highly Skilled,1040,27040,8,48,2,1 day/week,Yes,2026
Rajasthan,Welder,Highly Skilled,1050,27300,8,48,2,1 day/week,Yes,2026
Delhi,Welder,Highly Skilled,1060,27560,8,48,2,1 day/week,Yes,2026
